section,title,description
164,BNS Section 164 - Harbouring deserter.,"B.N.S 164, Harbouring deserter."
165,BNS Section 165 - Deserter concealed on board merchant vessel through negligence of master.,"B.N.S 165, Deserter concealed on board merchant vessel through negligence of master."
166,"BNS Section 166 - Abetment of act of insubordination by soldier, sailor or airman.","B.N.S 166, Abetment of act of insubordination by soldier, sailor or airman."
168,"BNS Section 168 - Wearing garb or carrying token used by soldier, sailor or airman.","B.N.S 168, Wearing garb or carrying token used by soldier, sailor or airman."
167,BNS Section 167 - Persons subject to certain Acts.,"B.N.S 167, Persons subject to certain Acts."
169,"BNS Section 169 - Candidate, electoral right defined.","B.N.S 169, Candidate, electoral right defined."
170,BNS Section 170 - Bribery.,"B.N.S 170, Bribery."
171,BNS Section 171 - Undue influence at elections.,"B.N.S 171, Undue influence at elections."
172,BNS Section 172 - Personation at elections.,"B.N.S 172, Personation at elections."
173,BNS Section 173 - Punishment for bribery.,"B.N.S 173, Punishment for bribery."
174,BNS Section 174 - Punishment for undue influence or personation at an election.,"B.N.S 174, Punishment for undue influence or personation at an election."
175,BNS Section 175 - False statement in connection with an election.,"B.N.S 175, False statement in connection with an election."
176,BNS Section 176 - Illegal payments in connection with an election.,"B.N.S 176, Illegal payments in connection with an election."
179,"BNS Section 179 - Using as genuine, forged or counterfeit coin, Government stamp, currency-notes or bank notes.","B.N.S 179, Using as genuine, forged or counterfeit coin, Government stamp, currency-notes or bank notes."
177,BNS Section 177 - Failure to keep election accounts.,"B.N.S 177, Failure to keep election accounts."
178,"BNS Section 178 - Counterfeiting coin, government stamps, currency-notes or bank-notes.","B.N.S 178, Counterfeiting coin, government stamps, currency-notes or bank-notes."
180,"BNS Section 180 - Possession of forged or counterfeit coin, Government stamp, currency-notes or bank-notes.","B.N.S 180, Possession of forged or counterfeit coin, Government stamp, currency-notes or bank-notes."
182,BNS Section 182 - Making or using documents resembling currency-notes or bank-notes.,"B.N.S 182, Making or using documents resembling currency-notes or bank-notes."
181,"BNS Section 181 - Making or possessing instruments or materials for forging or counterfeiting coin, Government stamp, currency notes or bank-notes.","B.N.S 181, Making or possessing instruments or materials for forging or counterfeiting coin, Government stamp, currency notes or bank-notes."
183,"BNS Section 183 - Effacing writing from substance bearing Government stamp, or removing from document a stamp used for it, with intent to cause loss to Government.","B.N.S 183, Effacing writing from substance bearing Government stamp, or removing from document a stamp used for it, with intent to cause loss to Government."
185,BNS Section 185 - Erasure of mark denoting that stamp has been used.,"B.N.S 185, Erasure of mark denoting that stamp has been used."
184,BNS Section 184 - Using Government stamp known to have been before used.,"B.N.S 184, Using Government stamp known to have been before used."
187,BNS Section 187 - Person employed in mint causing coin to be of different weight or composition from that fixed by law.,"B.N.S 187, Person employed in mint causing coin to be of different weight or composition from that fixed by law."
188,BNS Section 188 - Unlawfully taking coining instrument from mint.,"B.N.S 188, Unlawfully taking coining instrument from mint."
186,BNS Section 186 - Prohibition of fictitious stamps.,"B.N.S 186, Prohibition of fictitious stamps."
189,BNS Section 189 - Unlawful assembly.,"B.N.S 189, Unlawful assembly."
190,BNS Section 190 - Every member of unlawful assembly guilty of offence committed in prosecution of common object.,"B.N.S 190, Every member of unlawful assembly guilty of offence committed in prosecution of common object."
191,BNS Section 191 - Rioting.,"B.N.S 191, Rioting."
192,BNS Section 192 - Wantonly giving provocation with intent to cause riot- if rioting be committed; if not committed.,"B.N.S 192, Wantonly giving provocation with intent to cause riot- if rioting be committed; if not committed."
193,"BNS Section 193 - Liability of owner, occupier etc., of land on which an unlawful assembly or riot takes place.","B.N.S 193, Liability of owner, occupier etc., of land on which an unlawful assembly or riot takes place."
194,BNS Section 194 - Affray.,"B.N.S 194, Affray."
195,"BNS Section 195 - Assaulting or obstructing public servant when suppressing riot, etc.","B.N.S 195, Assaulting or obstructing public servant when suppressing riot, etc."
198,"BNS Section 198 - Public servant disobeying law, with intent to cause injury to any person.","B.N.S 198, Public servant disobeying law, with intent to cause injury to any person."
197,"BNS Section 197 - Imputations, assertions prejudicial to national integration.","B.N.S 197, Imputations, assertions prejudicial to national integration."
196,"BNS Section 196 - Promoting enmity between different groups on ground of religion, race, place of birth, residence, language, etc., and doing acts prejudicial to maintenance of harmony.","B.N.S 196, Promoting enmity between different groups on ground of religion, race, place of birth, residence, language, etc., and doing acts prejudicial to maintenance of harmony."
199,BNS Section 199 - Public servant disobeying direction under law.,"B.N.S 199, Public servant disobeying direction under law."
200,BNS Section 200 - Punishment for non-treatment of victim.,"B.N.S 200, Punishment for non-treatment of victim."
201,BNS Section 201 - Public servant framing an incorrect document with intent to cause injury.,"B.N.S 201, Public servant framing an incorrect document with intent to cause injury."
202,BNS Section 202 - Public servant unlawfully engaging in trade.,"B.N.S 202, Public servant unlawfully engaging in trade."
203,BNS Section 203 - Public servant unlawfully buying or bidding for property.,"B.N.S 203, Public servant unlawfully buying or bidding for property."
204,BNS Section 204 - Personating a public servant.,"B.N.S 204, Personating a public servant."
205,BNS Section 205 - Wearing garb or carrying token used by public servant with fraudulent intent.,"B.N.S 205, Wearing garb or carrying token used by public servant with fraudulent intent."
206,BNS Section 206 - Absconding to avoid service of summons or other proceeding.,"B.N.S 206, Absconding to avoid service of summons or other proceeding."
209,"BNS Section 209 - Non-appearance in response to a proclamation under section 84 of Bharatiya Nagarik Suraksha Sanhita, 2023.","B.N.S 209, Non-appearance in response to a proclamation under section 84 of Bharatiya Nagarik Suraksha Sanhita, 2023."
